,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54,random_model_n55,random_model_n56,random_model_n57,random_model_n58,random_model_n59,random_model_n60,random_model_n61,random_model_n62,random_model_n63,random_model_n64,random_model_n65,random_model_n66
179,0,0,2,2,2,3,6,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,1,2,0,1,0,1,0,1,2,2,2,0,2,0,0,1,2,2,0,1,2,1,2,1,1,0,0,0,1,1,2,0,0,1,0,1,2,0,0,1,0,1,0,1,2,0,1,1,2,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,2,2,2,1,1,1,1,1
180,0,0,1,3,3,2,0,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,3,7,0,1,0,2,0,4,2,5,1,2,1,0,2,2,2,0,2,0,1,1,0,0,0,2,2,1,1,1,2,0,1,1,0,2,1,1,0,0,2,0,1,0,0,1,1,0,1,2,0,0,2,1,1,0,2,2,0,1,2,1,0,1,1,0,1,1,1,2,0,0,2,1,1,1,0,0
181,0,0,2,2,2,0,5,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,1,1,0,1,2,0,1,0,1,0,0,0,2,0,1,2,2,0,1,1,1,1,2,1,0,2,0,2,2,1,1,0,2,2,0,0,0,2,0,1,2,2,1,1,1,1,2,2,0,1,0,1,1,0,0,2,1,0,1,2,1,2,1,1,2,0,2,1,1,2,0,0,0,0,2
182,0,1,0,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,3,3,4,2,0,0,0,1,0,0,1,1,1,0,1,1,0,2,1,2,1,2,0,0,1,2,0,0,1,2,2,1,2,1,0,2,2,1,1,0,0,0,1,2,0,0,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,1,2,2,0,2,2,2,0,2,1
183,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,0,1,3,2,0,1,1,0,0,1,1,0,1,1,0,1,1,1,2,1,1,2,2,1,0,1,2,1,1,0,0,2,1,2,2,1,2,1,2,1,0,1,2,0,0,0,1,2,0,0,1,1,2,2,2,2,0,2,1,2,1,2,2,1,1,1,1,0,1,2,0
184,0,0,2,2,2,0,6,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,1,2,4,7,0,1,0,2,2,1,2,1,2,0,2,1,2,1,1,0,1,1,1,1,2,1,2,2,0,2,1,0,0,0,1,1,2,0,2,0,2,0,1,1,0,0,0,1,2,1,1,0,0,2,0,0,2,2,1,0,1,2,2,0,2,1,0,0,0,1,0,0
185,0,0,1,0,0,5,3,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,1,2,1,5,2,1,2,2,1,1,2,0,2,1,1,0,1,0,1,0,0,2,2,1,2,0,2,1,2,2,2,1,1,2,0,1,2,2,0,0,0,2,0,0,2,0,1,2,0,2,1,2,1,1,2,2,2,0,2,0,2,1,0,1,1,2,2,1,0,2,0,0,0
186,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,3,4,0,1,0,2,0,0,1,1,2,1,2,0,1,0,1,1,0,0,1,0,1,0,2,0,1,1,0,2,1,2,2,1,2,1,1,2,2,2,0,2,1,1,1,2,1,0,2,2,1,2,1,2,2,2,1,1,2,0,1,0,0,2,2,2,2,0,2,2,1,2,0
187,0,0,2,2,2,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,3,5,6,1,0,1,2,2,1,2,0,0,2,0,1,1,1,2,1,2,1,2,2,1,2,2,0,0,0,1,0,0,2,0,2,2,1,1,1,1,1,0,1,2,0,1,0,1,2,1,2,2,1,2,1,2,2,2,1,2,1,0,0,2,1,1,2,0,0,0,0,2
188,0,1,0,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,3,3,4,2,0,2,2,1,0,2,2,2,1,0,2,0,2,0,1,0,0,2,2,0,0,0,0,2,1,2,1,2,2,2,0,1,0,0,1,2,0,2,1,2,2,0,0,0,0,1,2,0,2,2,1,0,1,0,1,1,1,1,1,2,2,0,1,0,0,0,0
189,0,0,2,2,2,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,1,2,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,2,2,2,0,2,2,2,1,0,2,0,1,1,0,1,1,2,1,0,1,2,0,2,1,1,1,0,1,0,2,1,2,1,1,0,1,1,2,0,0,2,0,1,0,1,1,2,0,0,2
190,0,0,2,2,2,0,6,4,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,1,1,0,1,2,0,1,0,1,2,2,1,2,0,2,0,2,2,0,0,0,2,0,0,0,2,0,1,0,2,2,1,2,0,0,2,0,1,1,2,2,2,2,2,0,2,2,1,1,1,0,2,2,1,2,2,1,1,0,1,0,1,1,1,1,1,1,2,1,0,0,2,1,0,2
191,0,0,2,2,2,3,6,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,1,2,4,7,0,1,1,2,0,1,0,0,0,1,1,2,1,1,2,2,2,1,0,0,1,2,1,0,2,1,0,1,0,0,2,0,0,0,2,0,0,1,2,1,0,2,0,0,1,2,1,1,1,0,0,0,0,1,0,0,2,1,0,0,1,1,2,1,0,0,2,1
192,0,0,2,2,2,3,6,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,1,2,0,1,0,1,1,1,2,0,0,0,1,2,0,2,2,0,0,1,1,0,0,0,0,0,1,2,1,1,0,2,2,2,0,2,0,0,1,2,0,0,0,1,0,0,1,0,1,2,1,1,2,0,1,0,1,2,2,1,0,2,2,0,1,0,1,2,0,0,1,1
193,0,0,2,2,2,0,6,4,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,1,1,0,1,2,0,7,0,1,2,0,2,1,0,0,1,1,0,2,1,0,0,1,0,1,2,1,2,1,2,1,0,2,2,2,1,2,0,0,2,1,2,0,0,2,0,0,2,0,0,2,1,1,2,0,1,1,0,1,0,0,0,2,2,1,0,2,0,2,1,1,2,2,0,0
194,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,3,4,0,1,0,2,0,2,0,2,1,0,0,1,0,1,1,0,1,1,1,2,2,2,1,1,0,2,0,2,1,1,1,0,1,0,0,2,2,1,0,1,1,2,0,0,2,0,2,2,0,0,1,0,2,2,0,0,1,2,2,1,2,1,0,0,0,0,2,2,1,0,0
195,0,1,0,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,3,3,4,2,0,0,0,1,1,1,2,1,2,0,2,1,2,2,2,1,1,1,1,1,1,1,0,0,1,2,2,0,2,2,2,0,2,1,0,1,1,1,2,0,1,2,2,0,2,2,2,0,0,1,1,1,2,2,1,1,2,1,1,2,0,2,2,1,0,0,2
196,0,0,2,2,2,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,3,5,6,1,0,1,1,0,2,1,1,1,1,2,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,2,2,2,2,0,2,2,1,1,0,1,1,0,0,1,1,1,2,1,1,1,1,0,1,0,0,1,0,1,2,0,2,2,2,1,2,1,2,1,1,0,2
197,0,0,2,2,2,3,6,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,1,1,0,1,2,4,7,0,1,1,2,2,2,2,1,1,1,1,0,1,2,1,1,1,1,1,1,2,1,1,2,2,2,1,2,0,1,2,1,2,1,0,0,2,0,0,0,2,0,1,0,2,0,1,1,1,1,0,2,0,1,0,0,0,2,2,1,0,0,2,0,2,0,1,1
198,0,0,1,3,3,2,0,2,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,2,0,4,2,6,1,2,2,1,0,1,2,1,2,1,1,2,1,0,1,2,2,1,1,0,1,0,2,1,1,1,0,1,0,1,1,0,2,1,0,2,0,1,2,0,1,1,1,0,1,1,2,2,2,1,2,1,1,2,2,1,1,0,0,1,2,2,1,2,0,0,0,0
199,0,0,1,0,0,5,3,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,1,0,1,2,1,5,2,1,2,2,0,0,2,1,1,0,1,2,2,1,2,1,0,2,1,1,0,0,1,1,0,1,1,1,0,2,2,1,1,2,2,2,0,0,2,0,0,0,1,0,1,0,0,1,1,0,1,1,0,2,1,2,0,0,0,1,1,1,1,2,1,0,0,2,2
200,0,0,2,2,2,0,6,4,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,1,1,0,1,2,4,7,0,1,2,2,0,1,0,1,1,2,2,2,2,2,0,0,0,1,2,1,2,0,2,2,1,1,2,1,2,2,2,2,2,1,1,2,1,2,1,1,0,1,1,1,2,2,0,2,1,0,2,2,1,1,2,2,2,2,1,1,2,2,2,2,0,2,1,1
201,0,0,1,3,3,2,0,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,2,0,4,2,5,1,2,2,1,0,2,1,0,2,1,0,2,1,2,2,1,2,0,0,1,1,0,0,2,0,2,2,2,0,2,0,2,2,0,2,2,1,1,0,0,1,2,1,2,0,2,1,1,0,1,0,0,0,2,0,0,0,2,2,1,0,2,0,2,1,0,1,1
202,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,3,4,0,1,0,2,0,1,1,0,1,0,2,0,2,1,1,0,0,2,2,2,0,2,2,1,1,2,1,2,1,0,2,2,1,1,0,2,1,2,1,0,1,2,1,0,0,0,0,0,2,0,2,2,1,1,0,2,2,2,0,2,0,2,1,2,1,2,1,0,1,1,2
203,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,3,4,0,1,3,2,0,1,1,2,2,2,1,0,2,1,2,2,1,0,1,1,0,2,0,1,1,2,1,0,0,1,1,2,2,2,1,1,2,1,1,1,2,0,0,0,1,0,1,0,2,2,1,2,0,2,2,1,0,1,1,2,0,0,1,1,2,2,2,1,0,0,1
204,0,0,2,2,2,0,5,0,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,1,2,0,1,0,1,2,1,0,2,0,2,1,1,1,2,0,2,2,0,0,0,1,1,2,2,2,1,2,1,0,1,2,2,2,2,2,2,0,0,2,0,0,1,2,1,0,2,0,0,1,0,0,2,0,0,1,1,2,1,0,0,1,1,1,0,1,0,2,0,0,2
205,0,0,2,2,2,0,5,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,1,2,0,7,0,1,2,0,0,2,0,2,0,2,2,1,1,1,0,2,2,0,0,1,1,1,0,0,2,1,0,1,1,2,1,2,1,2,2,1,1,2,2,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,2,1,2,1,0,1,1,2,1,1,2,2,2
206,0,1,0,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,3,3,4,2,0,0,2,1,0,1,2,0,2,2,2,0,0,1,2,2,2,1,2,2,2,2,0,2,2,2,0,0,1,0,0,2,0,2,0,0,1,2,0,2,2,2,1,1,0,1,2,2,2,0,2,1,1,0,0,1,2,2,0,1,2,0,0,2,1,0,0
207,0,0,1,3,3,2,0,2,-1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,2,0,4,2,6,1,2,0,1,0,1,1,0,0,0,0,1,0,0,2,2,2,0,0,1,2,1,2,2,2,2,1,2,1,2,2,1,2,0,0,1,1,0,0,2,2,1,0,1,0,2,1,1,2,1,1,1,2,1,2,0,0,1,1,2,0,2,0,2,0,2,0,0
208,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,3,3,4,2,0,1,0,1,0,0,0,2,0,2,2,1,0,0,1,1,0,1,1,0,2,0,1,1,2,1,0,0,0,1,0,0,0,2,2,1,0,2,2,1,0,2,0,1,0,1,0,0,2,2,2,2,2,2,1,0,2,1,1,1,2,2,2,1,1,0,2
209,0,1,0,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,3,3,3,2,0,0,1,0,1,1,1,2,2,2,2,0,1,0,2,2,0,1,0,2,1,1,1,2,0,2,1,0,0,0,1,0,0,1,2,2,1,2,1,1,2,1,2,1,1,1,1,0,1,1,0,2,1,2,2,2,0,1,2,1,0,0,2,2,2,2,2
210,0,0,1,3,3,2,0,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,0,4,2,6,1,2,0,0,1,0,2,2,2,2,1,0,0,2,2,2,1,2,1,1,0,1,1,2,1,0,1,2,0,1,2,2,2,2,2,0,0,2,1,1,0,1,0,0,1,2,1,0,1,0,1,0,0,1,0,1,0,1,2,1,2,2,0,2,0,2,2,2
211,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,0,1,3,2,0,2,0,2,2,2,1,2,2,0,0,0,1,2,0,2,1,1,0,2,0,2,2,2,0,2,0,2,2,0,2,0,2,0,0,2,2,1,1,1,1,2,2,0,2,2,2,0,1,2,0,2,1,0,0,2,0,2,0,0,1,2,0,1,2,0,0
212,0,0,1,3,3,2,0,2,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,2,0,4,2,6,1,2,1,2,1,1,0,1,1,0,2,0,2,0,1,0,1,2,1,0,1,1,2,0,2,2,1,2,0,0,1,1,1,1,1,1,2,0,1,1,2,2,0,1,2,2,2,2,1,0,1,2,1,0,0,1,1,0,1,0,0,2,2,0,0,2,1,2
213,0,0,1,3,3,2,3,6,1,1,1,1,1,1,1,1,1,0,1,1,3,2,1,2,7,0,1,0,2,0,4,2,5,1,2,1,1,1,0,1,2,0,2,2,0,2,0,0,2,0,0,1,0,0,1,0,1,1,2,2,0,1,0,1,0,2,1,0,2,1,2,0,0,2,1,2,0,2,2,1,0,0,2,0,2,1,0,1,1,0,2,2,1,1,0,1,0,1,1,2,1
214,0,0,2,2,2,0,5,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,1,2,0,1,0,1,2,1,2,0,2,0,0,2,1,1,2,0,2,0,1,0,0,1,1,2,2,0,1,0,1,2,2,1,2,1,0,1,1,2,1,0,2,2,2,1,1,0,2,0,1,2,1,0,0,0,2,2,0,2,2,1,2,1,2,1,2,2,2,0,1,1
215,0,0,1,0,0,5,3,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,1,2,1,5,2,1,2,0,2,2,0,0,2,1,1,1,0,2,0,1,2,2,0,1,2,1,2,0,2,0,2,0,1,2,2,0,2,1,0,2,0,1,0,0,0,1,2,1,2,1,2,2,2,1,1,0,0,2,0,1,1,2,1,1,1,1,2,2,1,0,0,2,1
216,0,0,1,0,0,5,3,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,1,0,1,2,1,5,2,1,2,0,0,2,2,2,1,0,1,0,1,2,0,1,1,2,0,2,1,2,2,1,0,0,0,2,0,0,2,2,2,0,2,1,0,1,2,1,1,0,2,1,2,2,2,1,1,0,2,0,0,1,0,2,2,1,0,1,0,0,1,1,2,2,1,0,1
217,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,3,4,0,1,0,2,0,1,0,2,0,0,2,0,1,1,2,2,1,1,2,1,2,2,2,0,1,0,2,2,0,0,2,2,2,2,1,0,0,0,2,0,0,2,0,2,0,1,1,0,2,2,0,1,1,0,1,0,2,1,1,2,2,0,2,2,1,2,1,2,1,0,0
218,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,3,4,0,1,0,2,0,2,0,0,0,2,0,1,0,1,0,2,0,2,0,1,2,1,2,0,2,2,1,1,1,1,2,1,0,0,0,2,1,1,0,1,2,0,1,0,0,1,2,0,0,2,2,1,0,1,1,0,2,2,2,1,2,0,2,0,1,0,1,1,2,1,1
219,0,0,1,0,0,5,3,7,-1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,0,6,0,1,0,1,2,1,5,2,1,2,1,2,1,0,0,2,2,1,1,1,1,2,1,1,1,2,1,2,0,1,2,1,1,2,0,2,2,0,0,0,2,2,2,0,2,0,0,0,2,2,1,0,0,0,1,2,1,2,2,1,1,0,0,1,2,0,2,0,2,1,0,1,2,1,1,2
220,0,0,2,2,2,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,3,5,6,1,0,1,2,0,0,0,1,0,2,2,1,1,0,1,0,0,1,2,2,2,0,1,1,0,0,0,1,0,2,0,1,0,1,2,1,1,0,1,2,2,2,2,2,2,0,0,0,0,1,0,2,0,1,2,0,1,2,1,2,0,2,0,0,2,1,2,0,1
221,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,3,4,0,1,0,2,0,1,2,1,2,1,2,0,0,0,0,0,0,0,1,0,1,2,0,0,1,2,0,0,1,2,2,2,2,0,0,1,0,1,2,0,0,0,1,2,2,0,1,0,1,0,1,2,1,2,0,0,2,1,2,0,1,0,1,2,0,0,0,0,1,2,1
222,0,1,0,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,3,3,4,2,0,0,1,0,0,0,2,2,0,1,1,0,1,2,0,0,0,0,1,1,0,0,0,1,1,0,2,1,2,0,2,1,1,1,2,0,1,0,0,0,2,1,2,2,0,0,2,0,2,0,0,1,1,0,1,0,1,1,2,0,1,1,1,1,2,2,2
223,0,0,1,0,0,5,3,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,1,2,1,5,2,1,2,2,2,0,0,0,0,1,2,1,0,0,1,2,0,2,0,0,0,0,2,1,2,1,2,1,2,1,1,0,1,0,2,2,0,1,1,0,0,1,0,0,1,1,0,1,2,0,0,0,1,1,0,1,1,2,2,2,1,0,2,2,1,2,1,1,1
224,0,0,2,2,2,3,6,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,1,5,4,7,0,1,2,0,2,2,0,1,2,2,2,0,0,0,2,1,2,1,1,0,1,1,2,0,2,0,1,0,1,2,0,0,2,1,2,2,1,2,2,0,0,0,0,0,0,1,2,1,0,1,1,2,1,1,2,0,0,2,0,1,2,0,1,0,1,0,2,1
225,0,1,0,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,3,3,4,2,0,2,0,0,1,1,1,1,1,1,0,0,0,2,2,0,0,0,2,2,2,0,2,0,1,2,2,1,1,0,2,0,1,0,1,0,0,2,1,2,0,0,0,1,1,1,0,1,1,1,0,0,1,1,2,1,1,0,0,1,1,1,0,2,1,1,1
226,0,0,2,2,2,3,6,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,1,5,4,7,0,1,1,1,1,2,0,0,0,1,0,0,0,1,2,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,2,0,2,0,0,1,2,0,0,1,1,2,1,1,0,2,2,0,0,0,1,2,1,0,0,2,0,1,2,2,0,1,2,2,0,1,0
227,0,0,2,2,2,0,5,0,-1,-1,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,1,2,0,7,0,1,1,2,0,0,2,1,0,0,2,0,2,0,0,1,2,2,2,0,0,2,0,2,2,2,2,1,0,1,2,0,1,0,1,1,0,1,0,1,0,2,1,2,0,0,1,1,2,1,2,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,2
228,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,3,4,0,1,0,2,0,0,1,2,2,0,2,0,1,0,2,2,2,2,0,1,2,1,1,2,0,2,0,2,1,0,1,0,1,2,1,0,2,1,1,0,0,0,0,1,1,2,1,2,0,1,1,0,2,0,1,0,2,0,2,1,0,1,1,0,1,0,1,2,1,1,0
229,0,0,2,2,2,0,5,0,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,1,1,0,1,2,0,1,0,1,0,1,1,0,0,0,2,1,1,2,2,0,1,2,1,0,0,1,0,0,1,0,1,1,1,1,0,2,1,1,1,0,2,1,0,2,0,1,0,2,2,1,0,2,2,0,0,0,2,2,1,2,0,0,0,1,0,1,0,1,2,2,2,0,1,0
230,0,1,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,3,4,0,1,0,2,0,0,0,2,2,1,1,2,2,0,1,1,0,2,2,0,0,2,1,0,1,0,1,0,0,0,0,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,0,1,0,0,2,1,0,1,0,1,1,0,1,2,0,0,2,1,1,2,1,2,0,1,2
231,0,0,1,0,0,5,3,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,1,2,1,5,2,1,2,2,1,0,2,2,0,2,1,1,2,0,1,0,0,0,0,1,2,0,2,0,1,0,0,1,1,1,1,2,1,1,1,2,0,2,2,2,2,2,1,1,2,0,0,1,1,1,2,0,0,0,1,1,1,0,1,0,2,0,2,1,1,0,1,1,2
232,0,0,2,2,2,3,6,4,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,3,5,4,7,0,1,0,2,0,0,1,1,1,1,2,1,1,1,2,2,0,0,0,1,0,1,0,2,0,1,0,0,0,2,0,0,1,0,2,1,0,1,0,0,1,0,1,2,1,1,2,1,0,1,1,2,2,1,0,2,2,0,0,0,2,0,1,0,0,0,0,0
233,0,0,1,0,0,5,3,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,1,0,1,2,1,5,2,1,2,1,0,2,2,1,2,1,1,0,2,1,1,1,1,1,0,0,0,0,2,0,0,1,0,1,1,2,2,0,1,2,2,2,1,2,2,2,1,0,1,1,2,1,1,0,2,2,0,2,1,1,1,1,1,2,0,0,1,0,2,1,0,2,1,0,1
234,0,0,1,3,3,2,0,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,2,0,4,2,5,1,2,2,1,1,2,0,0,0,1,0,2,0,0,2,1,0,2,2,1,2,1,1,2,0,2,0,2,2,1,1,0,0,2,1,2,1,0,0,0,2,2,1,2,1,0,2,2,1,2,0,1,2,0,1,2,2,1,1,0,1,0,1,0,2,0,0,1
235,0,0,1,3,3,2,0,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,0,4,2,6,1,2,1,2,0,0,1,1,0,1,0,1,0,1,2,2,2,2,1,0,0,0,2,1,2,2,0,1,2,0,1,0,2,2,2,0,1,0,2,2,2,0,0,2,1,2,0,2,0,0,0,2,2,1,2,0,0,2,1,1,2,1,0,2,1,0,1,2
236,0,0,2,2,2,3,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,1,1,0,1,5,6,1,0,1,2,1,0,0,0,2,0,1,1,0,1,1,0,2,2,0,0,2,0,0,1,2,2,2,2,0,2,0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,1,0,2,2,1,1,1,1,2,0,2,2,2,0,2,2,0,2,0,1,1,2,0
237,0,0,1,0,0,5,3,7,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,1,2,1,5,2,1,2,1,1,1,0,1,2,0,0,2,2,1,2,2,2,1,1,1,1,1,0,1,1,1,2,2,0,2,0,1,0,2,1,1,0,0,2,0,1,2,2,0,0,0,1,0,2,1,2,0,2,2,1,0,1,2,2,2,2,1,1,2,1,1,1,2,1
238,0,1,0,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,3,3,3,2,0,1,1,0,0,1,0,2,2,0,2,2,0,0,2,1,0,1,1,1,0,2,1,0,2,2,0,2,1,0,2,2,0,0,0,2,0,1,0,2,1,1,2,0,0,0,1,0,1,1,0,1,0,2,0,1,0,2,0,1,2,1,0,1,1,2,2
239,0,0,1,0,0,5,3,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,0,4,2,6,1,2,2,2,0,0,0,1,1,0,2,0,2,1,1,0,1,2,2,2,0,1,1,1,2,2,0,0,2,1,2,1,0,2,0,2,2,2,0,2,2,0,0,2,2,0,2,1,2,1,0,2,0,2,1,1,0,1,2,0,0,0,0,1,2,1,2,2
240,0,1,0,1,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,3,1,3,3,4,2,0,1,0,0,1,1,2,0,0,1,0,2,0,2,1,2,2,1,2,0,2,1,0,2,2,0,2,0,0,2,1,0,1,1,2,0,0,2,1,0,1,2,0,0,0,1,0,2,0,0,2,1,1,2,2,2,2,1,2,0,1,0,0,0,2,1,1
