,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44
232,0,1,0,2,4,1,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,6,5,0,1,2,0,1,0,0,2,1,1,1,0,0,2,0,2,0,1,1,0,2,2,2,1,1,2,1,2,0,2,0,2,1,0,0,0,2,2,2,1,1,1,2,1,1,0
233,0,1,2,0,3,5,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,1,0,2,3,2,0,0,1,2,0,1,2,2,2,2,0,2,0,1,0,0,0,2,0,0,0,2,1,2,0,1,0,2,2,2,2,2,0,2,1,1,1,2,0,0,1,1,2,1,0,1,2,0
234,0,1,2,3,2,2,3,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,2,1,3,3,3,1,2,2,0,1,1,2,1,2,2,0,2,1,2,0,0,1,1,0,2,1,1,1,0,2,2,0,1,1,1,2,1,1,2,0,0,2,1,1,1,0,1,0,0,1,1
235,0,1,2,3,2,2,3,4,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,1,3,3,6,1,2,2,1,1,2,2,0,1,0,0,1,0,0,2,0,2,0,1,0,0,0,2,2,1,1,2,0,2,1,1,0,0,0,2,0,0,2,1,0,2,2,0,1,0,1
236,0,1,0,2,4,1,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,2,7,0,1,0,2,2,2,1,2,2,2,1,2,2,0,1,0,2,1,2,2,2,2,2,1,0,1,2,2,1,1,0,0,1,2,0,2,0,0,0,1,2,0,1,0,1,0
237,0,1,2,0,3,5,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,3,2,0,0,1,2,1,2,2,2,0,1,2,2,2,0,1,0,1,1,1,2,1,0,1,1,1,0,2,1,0,2,2,1,2,2,0,1,2,0,2,1,2,2,1,0,0,2,0,0
238,0,0,1,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,1,0,0,0,2,1,0,0,0,1,1,1,1,2,2,1,2,1,1,2,0,2,2,1,2,2,0,2,1,0,2,2,2,2,2,0,0,0,0,2,2,0,1,2
239,0,1,2,0,3,5,0,4,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,1,3,3,6,1,2,0,2,2,1,2,2,0,0,2,0,2,0,0,2,1,1,2,0,0,1,0,1,2,2,0,1,1,2,0,0,0,0,0,1,0,0,1,0,1,2,2,0,2,2
240,0,0,1,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,2,2,0,0,2,0,2,1,1,1,0,0,1,1,0,2,1,1,0,1,0,0,1,2,2,0,2,2,2,2,2,2,2,1,1,2,0,0,0,1,2,1,2,1
241,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,2,2,2,2,1,1,1,0,2,0,2,1,2,2,0,1,2,1,2,1,0,0,1,0,1,2,2,2,1,0
242,0,1,0,2,4,1,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,2,7,0,1,1,0,0,0,2,0,1,2,2,0,0,1,2,1,1,0,1,0,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,2,2,2,2,1,1,0,0,1,0,1
243,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,2,5,5,4,2,0,2,0,1,1,0,2,1,0,1,0,0,0,2,0,1,1,0,2,0,2,0,1,1,1,0,0,1,1,1,2,1,0,1,0,0,1,0,1,2,0,2,2,2,2
244,0,1,0,2,4,1,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,7,0,0,1,1,4,4,2,7,0,1,0,0,0,2,0,0,2,0,2,1,1,1,0,2,0,1,2,1,1,1,2,0,0,0,2,1,0,2,2,0,1,2,2,2,2,0,0,2,1,0,0,0,2,0
245,0,1,0,2,0,3,4,7,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,0,1,1,1,0,4,2,0,1,0,1,0,2,1,2,0,0,2,1,2,1,0,0,0,2,1,1,0,0,1,2,0,1,2,2,1,2,0,1,2,0,2,1,1,2,1,0,1,1,0,2,2,1
246,0,1,0,2,4,1,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,2,7,0,1,0,2,1,1,2,2,0,0,2,0,0,0,2,2,2,1,1,1,0,2,0,1,2,1,0,0,0,1,0,0,1,2,1,2,2,0,1,1,2,0,0,1,0,2
247,0,1,2,3,2,2,3,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,2,1,3,3,3,1,2,1,2,2,0,2,1,1,1,2,2,1,0,0,2,2,2,2,0,2,1,0,1,1,0,1,0,0,0,1,1,2,0,1,2,0,0,0,1,1,1,0,0,0,1
248,0,1,2,0,3,5,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,1,0,2,3,2,0,0,1,2,0,0,1,2,0,2,2,2,0,0,2,0,0,2,0,0,1,0,0,2,1,1,0,1,0,1,2,0,1,2,2,0,0,0,2,0,2,1,2,2,0,0,1,2
249,0,1,2,3,2,2,3,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,2,1,3,3,6,1,2,0,1,0,2,0,0,1,1,0,0,2,0,0,2,2,0,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,2,0,2,2,2,1,1,1,2,1,1,2,2
250,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,1,2,2,1,2,0,0,0,1,2,1,1,0,2,0,1,2,0,0,1,0,1,0,2,2,2,2,0,1,0,0,1,0,2,0,1,0,0,0,1,1,1,0,2
251,0,1,0,2,4,1,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,1,1,1,0,6,5,0,1,1,0,1,1,0,0,2,2,0,0,0,1,1,0,2,0,0,0,1,0,2,1,0,1,0,0,1,1,1,2,0,1,1,1,1,1,1,1,1,0,2,0,0,2
252,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,3,2,5,5,4,2,0,1,0,0,1,2,1,1,2,1,1,2,1,0,1,0,2,1,0,2,2,0,2,1,0,2,2,1,2,1,1,1,2,0,1,1,0,0,1,0,0,0,1,1,2
253,0,0,1,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,1,0,1,1,1,2,2,2,1,2,2,1,2,1,0,2,1,0,0,2,0,1,0,2,2,1,0,0,0,2,0,0,2,2,2,2,1,1,0,2,0,1,0,0
254,0,1,2,0,2,5,3,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,2,1,3,3,3,1,2,1,1,0,0,2,1,1,1,0,2,2,1,0,0,1,1,1,0,1,0,0,2,2,2,2,1,0,1,2,1,2,1,0,2,1,0,0,1,1,0,2,1,1,1
255,0,1,2,3,2,2,3,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,2,1,3,3,3,1,2,2,1,2,2,0,2,2,0,1,2,0,0,1,1,1,2,0,1,0,1,0,0,2,0,1,1,1,2,0,1,2,0,1,0,0,1,1,2,2,2,1,0,0,1
256,0,1,2,0,3,5,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,3,2,0,0,1,2,0,2,1,1,1,2,0,0,0,0,0,0,1,2,2,2,2,0,2,1,2,1,0,1,0,2,0,0,0,0,2,1,2,1,1,2,2,1,1,0,2,2,2,0
257,0,1,0,2,4,1,6,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,6,5,0,1,0,0,1,1,0,1,2,2,1,0,0,0,2,2,0,2,1,1,1,2,1,1,2,2,1,1,2,1,0,2,0,1,0,0,1,0,2,2,1,0,0,0,2,1
258,0,1,0,2,0,3,4,7,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,0,1,1,1,0,4,2,0,1,1,0,0,1,1,1,1,2,2,2,1,2,0,1,2,0,1,2,1,0,1,2,2,2,1,1,0,1,2,1,2,2,2,1,2,1,0,2,1,0,1,0,0,0
259,0,1,2,3,2,2,3,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,2,1,3,3,3,1,2,1,2,0,2,1,0,0,0,0,2,2,1,1,0,2,0,0,0,2,1,2,1,2,1,1,0,2,2,1,2,2,0,1,1,1,2,1,1,0,2,1,2,2,1
260,0,1,0,2,4,1,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,6,5,0,1,0,2,2,1,1,2,0,2,1,0,2,0,1,0,2,1,2,2,2,1,2,1,2,1,0,0,2,1,2,1,0,2,0,0,0,1,1,1,2,0,0,1,1,2
261,0,1,2,3,2,2,3,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,2,1,3,3,6,1,2,2,1,2,2,2,1,2,0,0,1,2,2,2,0,2,0,2,2,0,0,1,1,0,1,0,0,2,0,1,1,1,0,2,0,0,2,0,2,1,0,2,2,0,0
262,0,1,0,2,4,1,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,2,7,0,1,2,1,1,0,2,1,2,1,0,2,2,0,1,0,0,0,1,1,1,1,2,1,1,1,0,2,1,0,2,1,1,0,2,1,0,0,2,0,2,2,1,2,2,2
263,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,2,5,5,4,2,0,1,1,1,1,1,2,0,2,1,0,0,2,0,2,0,0,1,1,0,1,2,0,2,0,1,0,0,1,1,2,2,0,0,0,1,2,1,1,2,2,1,2,0,1
264,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,1,1,1,1,2,1,2,2,0,0,1,2,2,2,1,2,2,0,0,0,2,2,1,0,2,2,2,0,2,2,2,2,0,0,1,2,1,1,1,1,1,0,0,0
265,0,1,2,0,3,5,0,4,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,1,3,3,3,1,2,1,0,1,2,1,1,1,2,1,2,1,1,0,1,1,0,2,2,2,0,2,0,2,0,0,2,1,1,2,1,2,2,0,2,0,0,0,0,2,2,2,2,2,1
266,0,1,2,0,3,5,3,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,3,7,0,1,0,2,1,3,3,3,1,2,2,2,0,1,1,2,2,1,1,0,1,1,0,2,2,0,2,1,0,1,2,1,0,2,2,2,0,1,1,1,0,1,2,2,1,2,1,2,1,0,2,0,0,1
267,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,2,5,5,4,2,0,2,2,0,0,1,0,2,1,2,0,1,0,1,1,2,0,0,0,1,0,1,0,2,1,1,0,2,0,1,2,0,0,2,1,1,0,1,1,1,1,0,2,0,2
268,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,2,5,5,4,2,0,2,1,2,1,2,2,1,0,2,0,1,0,1,1,0,1,0,1,1,1,2,0,1,0,0,1,2,2,2,2,2,2,2,0,2,0,0,1,2,0,2,2,2,2
269,0,1,0,2,0,3,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,0,1,1,1,0,6,5,0,1,1,2,2,2,1,2,0,1,0,0,1,0,2,0,1,1,2,2,1,1,1,2,0,1,1,1,1,2,2,1,2,2,2,0,0,1,0,2,2,0,0,0,1,2
270,0,1,2,3,2,2,3,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,2,1,3,3,6,1,2,0,2,1,2,0,2,0,2,1,2,0,2,2,2,2,0,1,1,0,2,1,0,2,0,0,0,1,2,1,1,1,0,1,2,0,2,1,1,2,2,2,1,2,1
271,0,0,1,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,0,1,1,1,1,1,1,2,0,0,0,0,2,1,2,0,1,2,2,2,2,1,1,1,0,2,0,1,0,2,1,1,1,2,0,1,2,2,0,1,1,2,1,2
272,0,0,1,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,0,1,0,0,1,2,1,1,1,1,1,2,2,1,2,0,0,0,2,0,2,1,2,2,2,2,2,2,1,0,2,0,2,2,1,1,1,2,0,2,0,0,2,2
273,0,1,2,3,2,2,3,4,1,1,1,1,1,1,1,1,1,0,1,1,3,2,1,2,6,0,1,0,2,1,3,3,6,1,2,2,2,2,2,2,1,0,2,1,2,1,2,2,1,1,2,1,0,2,1,1,0,2,1,2,2,2,1,0,2,2,2,1,1,1,0,2,1,1,2,0,2,0,2
274,0,1,2,0,3,5,0,4,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,1,3,3,6,1,2,2,0,0,2,0,1,1,2,1,1,0,1,0,1,1,2,2,1,0,2,0,0,0,1,2,0,1,2,0,2,1,2,0,1,2,1,2,0,1,1,2,1,1,1
275,0,1,0,2,4,1,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,3,3,0,0,0,1,1,1,0,6,5,0,1,2,2,1,2,0,1,0,0,0,2,0,0,0,1,1,2,2,1,2,2,2,0,2,0,1,1,1,2,2,0,0,2,1,0,0,1,2,2,0,1,1,1,2,1
276,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,0,1,2,0,2,2,2,0,2,2,1,2,2,0,2,2,1,2,0,1,1,1,0,1,2,1,2,1,2,0,1,1,1,1,0,0,2,2,2,0,0,0,1,2
277,0,1,2,0,3,5,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,3,2,0,0,1,2,2,0,1,0,2,1,2,1,2,0,2,0,0,2,2,1,0,0,1,0,2,1,2,2,2,1,1,0,1,1,1,2,0,0,0,2,2,1,1,2,1,1,0,2
278,0,1,2,0,3,5,3,4,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,2,1,3,3,3,1,2,0,2,1,2,0,0,1,0,1,1,0,0,0,0,1,1,1,1,2,1,0,0,1,0,2,0,0,2,1,2,0,1,0,0,1,2,0,2,0,1,1,1,1,2
279,0,1,0,2,0,3,4,2,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,0,1,1,1,0,4,5,0,1,0,2,0,2,0,1,1,0,0,1,2,2,1,2,1,0,1,2,2,2,0,2,0,1,2,2,1,2,1,0,2,2,1,1,1,1,0,0,2,0,2,0,0,0
280,0,1,0,2,4,1,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,2,7,0,1,2,0,1,1,1,1,0,1,2,2,0,2,2,2,0,2,1,2,0,2,0,1,1,2,1,0,1,2,0,1,2,1,1,0,1,2,1,1,2,0,1,2,2,1
281,0,1,0,2,4,1,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,2,7,0,1,2,2,1,1,2,2,2,1,0,0,1,0,2,1,1,1,2,1,1,0,2,1,1,0,1,1,0,0,0,2,0,2,1,0,0,2,1,0,0,1,1,1,1,0
282,0,1,0,2,4,1,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,2,7,0,1,1,0,1,0,2,1,0,2,0,2,2,1,1,1,2,2,1,0,2,0,1,0,1,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,0,1,0,0,2,0
283,0,1,2,0,3,5,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,6,0,1,0,2,3,2,0,0,1,2,0,2,0,0,1,2,1,0,0,1,1,2,0,1,1,2,1,0,1,1,1,0,1,0,2,0,1,0,2,2,0,0,1,0,1,1,2,1,1,1,1,0,0,0
284,0,0,1,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,2,2,2,2,1,2,1,0,1,2,0,2,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,2,2,1,0,0,1,0,0,1,2,0,1
285,0,1,0,2,4,1,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,2,7,0,1,2,1,1,2,0,2,0,1,1,1,2,0,2,0,2,1,0,0,2,0,0,2,1,1,0,1,2,0,2,1,0,2,1,2,1,0,0,1,0,0,1,2,2,0
286,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,2,5,5,4,2,0,2,2,0,0,2,2,0,0,2,1,0,2,0,0,1,2,0,2,1,1,0,2,2,1,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,1,0,0,1,2
287,0,1,0,2,0,3,4,2,-1,2,2,2,1,1,1,1,1,0,1,2,2,3,3,3,0,0,0,1,1,1,0,4,2,0,1,2,1,2,0,2,0,0,1,0,0,2,1,0,0,0,1,2,1,2,1,2,2,0,2,1,1,2,1,2,0,2,1,1,2,1,1,2,0,1,0,0,2,0,1
288,0,1,2,3,2,2,3,4,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,1,3,3,6,1,2,1,2,1,0,0,1,1,1,0,2,2,2,1,1,1,1,1,1,1,1,0,1,2,2,2,1,2,2,0,2,2,2,1,0,1,1,1,0,2,2,1,1,0,2
289,0,1,2,0,3,5,0,4,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,6,0,1,0,2,1,3,3,0,1,2,2,2,0,0,2,1,1,1,2,0,0,2,0,2,0,2,2,1,0,0,1,2,2,2,0,1,1,2,1,2,2,1,0,1,0,0,0,0,0,1,0,2,1,0
290,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,2,5,5,4,2,0,2,1,1,1,1,1,2,0,2,1,2,0,1,1,0,1,2,2,2,2,0,2,2,0,1,2,1,1,2,1,0,2,2,1,0,0,0,0,2,1,0,2,1,2
291,0,1,0,2,4,1,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,1,0,6,5,0,1,0,0,2,2,1,0,2,1,0,1,0,2,1,1,2,0,2,2,2,1,1,0,2,0,1,2,1,2,0,0,2,0,2,0,2,0,1,0,2,0,2,1,0,2
292,0,1,2,3,2,2,3,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,2,1,3,3,6,1,2,1,2,2,1,0,2,2,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,1,1,2,2,0,2,1,1,2,0,1,2,1,2,2,1,1,0,0,2,0,1
293,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,2,5,5,4,2,0,0,0,1,1,2,2,0,2,0,0,1,2,1,2,0,1,2,2,1,1,0,0,1,0,2,1,2,2,1,1,2,1,2,1,0,0,2,0,2,1,1,0,1,2
294,0,1,2,3,2,2,3,6,4,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,7,0,1,0,2,1,3,3,6,1,2,0,0,2,1,1,1,1,1,2,0,0,2,1,2,1,1,0,0,2,0,2,2,1,1,0,2,1,0,0,0,2,1,1,2,2,0,2,2,1,0,0,2,2,2
295,0,1,0,2,4,1,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,2,7,0,1,0,2,2,1,2,1,1,2,0,0,2,0,2,2,1,2,2,0,1,2,1,2,0,1,0,2,0,0,0,0,1,2,2,2,1,0,2,1,2,0,1,0,1,0
296,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,1,2,2,1,1,2,0,0,0,2,1,0,1,0,0,0,1,2,2,1,2,0,1,2,2,2,1,0,2,0,1,1,0,0,1,0,0,2,0,2,1,0,1,1
297,0,1,0,2,0,3,4,7,2,2,2,2,1,1,1,1,1,0,1,2,2,3,1,4,0,0,0,1,1,1,0,4,2,0,1,0,1,2,0,1,0,1,2,2,0,0,0,0,0,1,0,2,2,0,2,2,1,0,1,0,1,2,2,2,2,2,2,2,2,0,0,2,2,0,0,1,1,1,1
298,0,1,0,2,0,3,2,7,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,4,0,0,0,1,1,1,0,4,2,0,1,2,2,1,1,1,2,0,1,2,0,2,1,0,2,0,0,0,2,1,2,0,1,1,1,0,0,0,0,0,2,0,2,2,0,2,1,0,1,0,2,0,0,2,2
299,0,0,1,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,2,1,2,2,1,0,0,1,2,1,2,1,0,2,1,0,1,2,0,1,0,0,0,0,1,1,1,2,1,2,1,2,0,2,1,2,0,1,0,1,0,2,1,2
300,0,1,2,3,2,2,3,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,2,1,3,3,6,1,2,1,0,1,0,2,2,1,0,1,0,0,1,0,1,0,0,1,1,0,2,0,1,1,0,0,1,0,1,2,1,0,2,1,0,2,0,0,1,2,1,0,1,1,2
301,0,1,2,0,3,5,0,4,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,3,7,0,1,0,2,1,3,3,3,1,2,2,0,0,2,2,0,1,0,2,1,0,1,2,0,2,0,0,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1,0,2,2,2,2,2
302,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,2,3,2,5,5,4,2,0,0,2,0,2,0,2,1,1,0,1,0,0,0,0,2,2,2,0,0,2,2,2,1,1,0,0,2,0,2,0,0,0,2,0,0,0,1,1,0,0,1,0,2,1
303,0,1,0,2,4,1,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,6,5,0,1,2,1,0,2,2,2,2,0,0,2,0,2,2,2,2,2,0,0,2,2,2,2,2,1,0,1,1,0,1,2,2,0,2,2,2,1,2,1,1,1,2,1,0,2
304,0,1,0,2,0,3,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,1,0,4,2,0,1,1,0,1,1,1,1,1,2,1,1,1,0,1,1,0,0,1,1,2,0,1,2,0,1,0,1,1,0,1,0,2,1,0,0,1,1,0,1,1,1,1,0,1,1
305,0,0,1,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,0,0,0,1,0,2,1,2,2,0,0,1,1,0,2,1,1,1,1,1,1,2,0,2,2,2,0,1,1,1,2,1,0,0,2,1,1,0,2,1,1,0,2,1
306,0,1,0,2,4,1,2,3,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,4,4,2,7,0,1,2,0,1,0,0,0,0,0,2,0,0,0,2,2,1,2,0,0,2,1,2,0,1,2,2,0,2,2,0,0,1,1,1,0,2,1,0,1,0,0,2,0,2,1
307,0,1,0,2,0,3,4,7,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,0,1,1,1,0,4,2,0,1,1,1,2,2,1,1,0,2,1,1,2,2,2,2,0,0,0,2,0,0,2,2,2,2,1,1,0,0,1,0,2,1,2,1,0,0,2,0,2,1,1,0,1,1
308,0,1,0,2,4,1,6,2,2,2,2,2,1,1,1,1,1,0,1,2,2,4,1,3,0,0,0,1,1,1,0,6,5,0,1,2,2,2,0,1,2,0,2,2,0,1,0,2,1,1,2,2,0,1,0,1,2,0,2,0,2,2,2,2,2,2,2,1,1,0,0,1,1,1,1,0,2,0,2
309,0,1,0,2,0,3,4,7,2,2,2,2,1,1,1,1,1,0,1,2,2,3,3,4,0,0,0,1,1,1,0,4,2,0,1,1,0,2,2,0,2,2,2,1,0,2,1,2,2,0,1,1,2,1,1,0,0,2,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0,2,2,1,1,2,1
310,0,1,2,3,2,2,3,6,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,2,6,0,1,0,2,1,3,3,6,1,2,1,2,2,1,0,0,1,1,2,0,2,0,1,0,1,0,2,0,1,2,1,1,1,2,1,1,1,0,0,0,1,0,1,0,0,0,2,1,1,2,2,1,2,2
311,0,0,1,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,2,0,2,2,0,2,1,2,1,0,1,0,1,1,1,0,0,0,1,1,0,2,1,1,2,1,1,0,1,1,1,1,0,1,2,2,2,0,2,1,2,2,0,2,0,0
